Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
2,a,a,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
3,a,a,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
11,a,c,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
14,a,a,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
15,d,c,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
17,a,a,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct"
18,d,c,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct"
20,d,a,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
21,c,c,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
24,a,c,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct"
27,a,a,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
28,a,a,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
30,a,a,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec"
35,d,c,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
36,a,c,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
39,a,a,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov"
46,c,a,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
47,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
51,a,c,10570.0,7,2013,1,9,2011,"Jan,Apr,Jul,Oct"
52,d,c,450.0,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
54,d,c,7170.0,8,2014,1,5,2013,"Feb,May,Aug,Nov"
56,d,c,6620.0,3,2012,1,10,2014,"Mar,Jun,Sept,Dec"
58,a,c,7340.0,5,2008,1,27,2012,"Jan,Apr,Jul,Oct"
59,a,c,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
61,a,c,350.0,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
63,c,c,3700.0,6,2010,1,18,2010,"Feb,May,Aug,Nov"
65,a,c,13840.0,5,2010,1,1,2012,"Jan,Apr,Jul,Oct"
71,a,a,17500.0,8,2008,1,37,2009,"Mar,Jun,Sept,Dec"
72,a,a,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct"
77,d,c,1090.0,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
78,a,a,3510.0,11,2006,1,5,2013,"Feb,May,Aug,Nov"
81,a,a,2370.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct"
82,a,a,22390.0,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
86,a,a,480.0,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
89,a,a,2380.0,7,2004,1,40,2014,"Jan,Apr,Jul,Oct"
96,a,a,8780.0,2,2005,1,37,2009,"Jan,Apr,Jul,Oct"
98,d,c,15140.0,12,2006,1,1,2012,"Jan,Apr,Jul,Oct"
99,c,c,2030.0,11,2003,1,22,2012,"Mar,Jun,Sept,Dec"
102,a,a,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
115,d,c,5740.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct"
120,d,a,2290.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
121,a,a,3570.0,11,2009,1,36,2013,"Mar,Jun,Sept,Dec"
126,d,a,3370.0,10,2014,1,18,2011,"Feb,May,Aug,Nov"
127,d,a,1350.0,12,2005,1,13,2010,"Jan,Apr,Jul,Oct"
133,a,a,270.0,8,2013,1,10,2014,"Mar,Jun,Sept,Dec"
136,a,c,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov"
137,a,a,1730.0,7,2015,1,40,2014,"Jan,Apr,Jul,Oct"
139,a,a,1700.0,1,2008,1,14,2011,"Jan,Apr,Jul,Oct"
140,a,c,1090.0,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
146,d,c,8050.0,10,1961,1,48,2012,"Jan,Apr,Jul,Oct"
149,d,a,2610.0,7,2006,1,14,2011,"Jan,Apr,Jul,Oct"
153,a,a,16240.0,10,2000,1,18,2011,"Feb,May,Aug,Nov"
156,a,a,2020.0,2,2011,1,14,2011,"Mar,Jun,Sept,Dec"
162,d,c,5340.0,3,2012,1,13,2010,"Jan,Apr,Jul,Oct"
164,a,a,1160.0,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
165,a,a,3720.0,4,2005,1,13,2010,"Jan,Apr,Jul,Oct"
166,a,c,100.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
169,d,a,980.0,7,2014,1,18,2014,"Feb,May,Aug,Nov"
170,a,a,1070.0,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
177,a,a,1250.0,2,2004,1,5,2013,"Feb,May,Aug,Nov"
181,a,a,12610.0,3,2013,1,14,2011,"Jan,Apr,Jul,Oct"
186,a,a,290.0,10,2011,1,40,2014,"Jan,Apr,Jul,Oct"
190,a,a,1470.0,12,2006,1,40,2014,"Jan,Apr,Jul,Oct"
191,a,a,1100.0,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
192,d,c,2770.0,3,2008,1,40,2014,"Jan,Apr,Jul,Oct"
196,c,a,3850.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct"
198,a,a,290.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
199,d,c,6360.0,12,2010,1,14,2012,"Mar,Jun,Sept,Dec"
204,a,a,5630.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
209,a,c,11680.0,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
210,d,a,970.0,11,1999,1,5,2013,"Feb,May,Aug,Nov"
213,d,c,4030.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
214,d,a,8650.0,7,2013,1,10,2014,"Jan,Apr,Jul,Oct"
223,d,c,2920.0,10,1995,1,27,2011,"Jan,Apr,Jul,Oct"
229,d,c,17410.0,4,2007,1,14,2011,"Jan,Apr,Jul,Oct"
231,d,c,3840.0,10,2008,1,39,2010,"Feb,May,Aug,Nov"
232,c,c,13570.0,5,2010,1,10,2013,"Mar,Jun,Sept,Dec"
235,a,a,5710.0,3,2012,1,37,2009,"Jan,Apr,Jul,Oct"
242,d,a,6880.0,9,2001,1,14,2011,"Jan,Apr,Jul,Oct"
244,d,a,710.0,3,2012,1,1,2012,"Jan,Apr,Jul,Oct"
247,d,c,70.0,11,2010,1,5,2013,"Feb,May,Aug,Nov"
248,a,c,340.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
